home_OPS,home_OBP,home_SLG,home_R,home_HR,home_BB,home_SO,home_ERA,home_WHIP,home_OBA,home_SO_fielding,away_OPS,away_OBP,away_SLG,away_R,away_HR,away_BB,away_SO,away_ERA,away_WHIP,away_OBA,away_SO_fielding,run_diff
0.7,0.286,0.413,202.0,73.0,121.0,470.0,5.01,1.5,0.27,354.0,0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,1.0
0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,-3.0
0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,1.0
0.782,0.335,0.447,293.0,69.0,190.0,398.0,3.9,1.28,0.248,394.0,0.754,0.34,0.414,241.0,53.0,184.0,380.0,3.79,1.24,0.243,477.0,4.0
0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,0.736,0.328,0.408,218.0,53.0,182.0,380.0,2.82,1.25,0.228,448.0,1.0
0.821,0.346,0.475,275.0,83.0,198.0,428.0,3.49,1.18,0.208,453.0,0.703,0.318,0.384,196.0,44.0,152.0,357.0,4.13,1.22,0.238,442.0,-2.0
0.665,0.3,0.366,172.0,32.0,124.0,354.0,3.03,1.18,0.233,408.0,0.695,0.317,0.378,195.0,45.0,154.0,383.0,3.48,1.14,0.213,445.0,2.0
0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,0.7,0.286,0.413,202.0,73.0,121.0,470.0,5.01,1.5,0.27,354.0,7.0
0.738,0.334,0.404,240.0,47.0,167.0,381.0,3.73,1.21,0.236,354.0,0.657,0.308,0.349,212.0,41.0,172.0,407.0,4.11,1.32,0.241,402.0,1.0
0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,-1.0
0.711,0.322,0.389,199.0,41.0,145.0,326.0,3.5,1.18,0.22,412.0,0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,-1.0
0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,0.708,0.318,0.39,198.0,51.0,162.0,401.0,3.78,1.24,0.233,404.0,-6.0
0.723,0.324,0.399,227.0,66.0,191.0,423.0,3.62,1.3,0.248,398.0,0.698,0.311,0.387,197.0,45.0,145.0,404.0,5.46,1.48,0.266,379.0,-4.0
0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,0.618,0.286,0.332,164.0,40.0,151.0,423.0,4.19,1.4,0.249,355.0,1.0
0.813,0.343,0.471,284.0,81.0,188.0,409.0,4.16,1.29,0.239,462.0,0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,-3.0
0.701,0.313,0.388,230.0,53.0,177.0,426.0,3.34,1.23,0.236,425.0,0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,-2.0
0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,0.743,0.324,0.419,240.0,62.0,170.0,465.0,4.03,1.34,0.257,421.0,1.0
0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,0.743,0.324,0.419,240.0,62.0,170.0,465.0,4.03,1.34,0.257,421.0,-4.0
0.751,0.331,0.421,267.0,62.0,169.0,435.0,3.32,1.17,0.228,434.0,0.686,0.299,0.387,183.0,56.0,134.0,430.0,5.45,1.48,0.274,365.0,1.0
0.751,0.331,0.421,267.0,62.0,169.0,435.0,3.32,1.17,0.228,434.0,0.686,0.299,0.387,183.0,56.0,134.0,430.0,5.45,1.48,0.274,365.0,4.0
0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,0.7,0.286,0.413,202.0,73.0,121.0,470.0,5.01,1.5,0.27,354.0,4.0
0.738,0.334,0.404,240.0,47.0,167.0,381.0,3.73,1.21,0.236,354.0,0.657,0.308,0.349,212.0,41.0,172.0,407.0,4.11,1.32,0.241,402.0,1.0
0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,-2.0
0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,0.736,0.328,0.408,218.0,53.0,182.0,380.0,2.82,1.25,0.228,448.0,-2.0
0.701,0.313,0.388,230.0,53.0,177.0,426.0,3.34,1.23,0.236,425.0,0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,1.0
0.782,0.335,0.447,293.0,69.0,190.0,398.0,3.9,1.28,0.248,394.0,0.754,0.34,0.414,241.0,53.0,184.0,380.0,3.79,1.24,0.243,477.0,-6.0
0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,0.618,0.286,0.332,164.0,40.0,151.0,423.0,4.19,1.4,0.249,355.0,-7.0
0.665,0.3,0.366,172.0,32.0,124.0,354.0,3.03,1.18,0.233,408.0,0.695,0.317,0.378,195.0,45.0,154.0,383.0,3.48,1.14,0.213,445.0,2.0
0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,0.708,0.318,0.39,198.0,51.0,162.0,401.0,3.78,1.24,0.233,404.0,-1.0
0.711,0.322,0.389,199.0,41.0,145.0,326.0,3.5,1.18,0.22,412.0,0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,-3.0
0.813,0.343,0.471,284.0,81.0,188.0,409.0,4.16,1.29,0.239,462.0,0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,4.0
0.723,0.324,0.399,227.0,66.0,191.0,423.0,3.62,1.3,0.248,398.0,0.698,0.311,0.387,197.0,45.0,145.0,404.0,5.46,1.48,0.266,379.0,14.0
0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,0.736,0.328,0.408,218.0,53.0,182.0,380.0,2.82,1.25,0.228,448.0,1.0
0.821,0.346,0.475,275.0,83.0,198.0,428.0,3.49,1.18,0.208,453.0,0.703,0.318,0.384,196.0,44.0,152.0,357.0,4.13,1.22,0.238,442.0,9.0
0.821,0.346,0.475,275.0,83.0,198.0,428.0,3.49,1.18,0.208,453.0,0.703,0.318,0.384,196.0,44.0,152.0,357.0,4.13,1.22,0.238,442.0,4.0
0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,0.743,0.324,0.419,240.0,62.0,170.0,465.0,4.03,1.34,0.257,421.0,-10.0
0.751,0.331,0.421,267.0,62.0,169.0,435.0,3.32,1.17,0.228,434.0,0.686,0.299,0.387,183.0,56.0,134.0,430.0,5.45,1.48,0.274,365.0,7.0
0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,0.7,0.286,0.413,202.0,73.0,121.0,470.0,5.01,1.5,0.27,354.0,5.0
0.665,0.3,0.366,172.0,32.0,124.0,354.0,3.03,1.18,0.233,408.0,0.695,0.317,0.378,195.0,45.0,154.0,383.0,3.48,1.14,0.213,445.0,-4.0
0.738,0.334,0.404,240.0,47.0,167.0,381.0,3.73,1.21,0.236,354.0,0.657,0.308,0.349,212.0,41.0,172.0,407.0,4.11,1.32,0.241,402.0,-6.0
0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,-7.0
0.701,0.313,0.388,230.0,53.0,177.0,426.0,3.34,1.23,0.236,425.0,0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,1.0
0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,0.618,0.286,0.332,164.0,40.0,151.0,423.0,4.19,1.4,0.249,355.0,1.0
0.813,0.343,0.471,284.0,81.0,188.0,409.0,4.16,1.29,0.239,462.0,0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,7.0
0.711,0.322,0.389,199.0,41.0,145.0,326.0,3.5,1.18,0.22,412.0,0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,-2.0
0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,0.708,0.318,0.39,198.0,51.0,162.0,401.0,3.78,1.24,0.233,404.0,2.0
0.723,0.324,0.399,227.0,66.0,191.0,423.0,3.62,1.3,0.248,398.0,0.698,0.311,0.387,197.0,45.0,145.0,404.0,5.46,1.48,0.266,379.0,1.0
0.782,0.335,0.447,293.0,69.0,190.0,398.0,3.9,1.28,0.248,394.0,0.754,0.34,0.414,241.0,53.0,184.0,380.0,3.79,1.24,0.243,477.0,-2.0
0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,0.736,0.328,0.408,218.0,53.0,182.0,380.0,2.82,1.25,0.228,448.0,-14.0
0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,-10.0
0.686,0.299,0.387,183.0,56.0,134.0,430.0,5.45,1.48,0.274,365.0,0.821,0.346,0.475,275.0,83.0,198.0,428.0,3.49,1.18,0.208,453.0,1.0
0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,0.738,0.334,0.404,240.0,47.0,167.0,381.0,3.73,1.21,0.236,354.0,2.0
0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,-1.0
0.695,0.317,0.378,195.0,45.0,154.0,383.0,3.48,1.14,0.213,445.0,0.751,0.331,0.421,267.0,62.0,169.0,435.0,3.32,1.17,0.228,434.0,3.0
0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,0.708,0.318,0.39,198.0,51.0,162.0,401.0,3.78,1.24,0.233,404.0,-3.0
0.813,0.343,0.471,284.0,81.0,188.0,409.0,4.16,1.29,0.239,462.0,0.698,0.311,0.387,197.0,45.0,145.0,404.0,5.46,1.48,0.266,379.0,1.0
0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,1.0
0.686,0.299,0.387,183.0,56.0,134.0,430.0,5.45,1.48,0.274,365.0,0.821,0.346,0.475,275.0,83.0,198.0,428.0,3.49,1.18,0.208,453.0,-12.0
0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,0.782,0.335,0.447,293.0,69.0,190.0,398.0,3.9,1.28,0.248,394.0,-9.0
0.754,0.34,0.414,241.0,53.0,184.0,380.0,3.79,1.24,0.243,477.0,0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,1.0
0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,0.665,0.3,0.366,172.0,32.0,124.0,354.0,3.03,1.18,0.233,408.0,-2.0
0.703,0.318,0.384,196.0,44.0,152.0,357.0,4.13,1.22,0.238,442.0,0.743,0.324,0.419,240.0,62.0,170.0,465.0,4.03,1.34,0.257,421.0,-8.0
0.736,0.328,0.408,218.0,53.0,182.0,380.0,2.82,1.25,0.228,448.0,0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,5.0
0.618,0.286,0.332,164.0,40.0,151.0,423.0,4.19,1.4,0.249,355.0,0.657,0.308,0.349,212.0,41.0,172.0,407.0,4.11,1.32,0.241,402.0,-5.0
0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,13.0
0.695,0.317,0.378,195.0,45.0,154.0,383.0,3.48,1.14,0.213,445.0,0.751,0.331,0.421,267.0,62.0,169.0,435.0,3.32,1.17,0.228,434.0,2.0
0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,0.708,0.318,0.39,198.0,51.0,162.0,401.0,3.78,1.24,0.233,404.0,-6.0
0.723,0.324,0.399,227.0,66.0,191.0,423.0,3.62,1.3,0.248,398.0,0.7,0.286,0.413,202.0,73.0,121.0,470.0,5.01,1.5,0.27,354.0,2.0
0.711,0.322,0.389,199.0,41.0,145.0,326.0,3.5,1.18,0.22,412.0,0.701,0.313,0.388,230.0,53.0,177.0,426.0,3.34,1.23,0.236,425.0,3.0
0.813,0.343,0.471,284.0,81.0,188.0,409.0,4.16,1.29,0.239,462.0,0.698,0.311,0.387,197.0,45.0,145.0,404.0,5.46,1.48,0.266,379.0,13.0
0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,0.738,0.334,0.404,240.0,47.0,167.0,381.0,3.73,1.21,0.236,354.0,-6.0
0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,0.738,0.334,0.404,240.0,47.0,167.0,381.0,3.73,1.21,0.236,354.0,-8.0
0.695,0.317,0.378,195.0,45.0,154.0,383.0,3.48,1.14,0.213,445.0,0.751,0.331,0.421,267.0,62.0,169.0,435.0,3.32,1.17,0.228,434.0,-3.0
0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,0.708,0.318,0.39,198.0,51.0,162.0,401.0,3.78,1.24,0.233,404.0,1.0
0.813,0.343,0.471,284.0,81.0,188.0,409.0,4.16,1.29,0.239,462.0,0.698,0.311,0.387,197.0,45.0,145.0,404.0,5.46,1.48,0.266,379.0,5.0
0.723,0.324,0.399,227.0,66.0,191.0,423.0,3.62,1.3,0.248,398.0,0.7,0.286,0.413,202.0,73.0,121.0,470.0,5.01,1.5,0.27,354.0,6.0
0.711,0.322,0.389,199.0,41.0,145.0,326.0,3.5,1.18,0.22,412.0,0.701,0.313,0.388,230.0,53.0,177.0,426.0,3.34,1.23,0.236,425.0,2.0
0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,2.0
0.686,0.299,0.387,183.0,56.0,134.0,430.0,5.45,1.48,0.274,365.0,0.821,0.346,0.475,275.0,83.0,198.0,428.0,3.49,1.18,0.208,453.0,1.0
0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,0.782,0.335,0.447,293.0,69.0,190.0,398.0,3.9,1.28,0.248,394.0,1.0
0.754,0.34,0.414,241.0,53.0,184.0,380.0,3.79,1.24,0.243,477.0,0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,5.0
0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,0.665,0.3,0.366,172.0,32.0,124.0,354.0,3.03,1.18,0.233,408.0,-3.0
0.703,0.318,0.384,196.0,44.0,152.0,357.0,4.13,1.22,0.238,442.0,0.743,0.324,0.419,240.0,62.0,170.0,465.0,4.03,1.34,0.257,421.0,1.0
0.736,0.328,0.408,218.0,53.0,182.0,380.0,2.82,1.25,0.228,448.0,0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,-1.0
0.618,0.286,0.332,164.0,40.0,151.0,423.0,4.19,1.4,0.249,355.0,0.657,0.308,0.349,212.0,41.0,172.0,407.0,4.11,1.32,0.241,402.0,-2.0
0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,-6.0
0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,0.782,0.335,0.447,293.0,69.0,190.0,398.0,3.9,1.28,0.248,394.0,-5.0
0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,0.738,0.334,0.404,240.0,47.0,167.0,381.0,3.73,1.21,0.236,354.0,8.0
0.736,0.328,0.408,218.0,53.0,182.0,380.0,2.82,1.25,0.228,448.0,0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,-2.0
0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,0.665,0.3,0.366,172.0,32.0,124.0,354.0,3.03,1.18,0.233,408.0,-6.0
0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,1.0
0.618,0.286,0.332,164.0,40.0,151.0,423.0,4.19,1.4,0.249,355.0,0.657,0.308,0.349,212.0,41.0,172.0,407.0,4.11,1.32,0.241,402.0,8.0
0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,-3.0
0.754,0.34,0.414,241.0,53.0,184.0,380.0,3.79,1.24,0.243,477.0,0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,-2.0
0.703,0.318,0.384,196.0,44.0,152.0,357.0,4.13,1.22,0.238,442.0,0.743,0.324,0.419,240.0,62.0,170.0,465.0,4.03,1.34,0.257,421.0,2.0
0.7,0.286,0.413,202.0,73.0,121.0,470.0,5.01,1.5,0.27,354.0,0.751,0.331,0.421,267.0,62.0,169.0,435.0,3.32,1.17,0.228,434.0,-6.0
0.701,0.313,0.388,230.0,53.0,177.0,426.0,3.34,1.23,0.236,425.0,0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,-1.0
0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,5.0
0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,0.711,0.322,0.389,199.0,41.0,145.0,326.0,3.5,1.18,0.22,412.0,-5.0
0.754,0.34,0.414,241.0,53.0,184.0,380.0,3.79,1.24,0.243,477.0,0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,1.0
0.686,0.299,0.387,183.0,56.0,134.0,430.0,5.45,1.48,0.274,365.0,0.665,0.3,0.366,172.0,32.0,124.0,354.0,3.03,1.18,0.233,408.0,3.0
0.821,0.346,0.475,275.0,83.0,198.0,428.0,3.49,1.18,0.208,453.0,0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,3.0
0.703,0.318,0.384,196.0,44.0,152.0,357.0,4.13,1.22,0.238,442.0,0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,2.0
0.743,0.324,0.419,240.0,62.0,170.0,465.0,4.03,1.34,0.257,421.0,0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,5.0
0.698,0.311,0.387,197.0,45.0,145.0,404.0,5.46,1.48,0.266,379.0,0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,-5.0
0.708,0.318,0.39,198.0,51.0,162.0,401.0,3.78,1.24,0.233,404.0,0.813,0.343,0.471,284.0,81.0,188.0,409.0,4.16,1.29,0.239,462.0,-1.0
0.618,0.286,0.332,164.0,40.0,151.0,423.0,4.19,1.4,0.249,355.0,0.695,0.317,0.378,195.0,45.0,154.0,383.0,3.48,1.14,0.213,445.0,4.0
0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,0.723,0.324,0.399,227.0,66.0,191.0,423.0,3.62,1.3,0.248,398.0,-12.0
0.657,0.308,0.349,212.0,41.0,172.0,407.0,4.11,1.32,0.241,402.0,0.782,0.335,0.447,293.0,69.0,190.0,398.0,3.9,1.28,0.248,394.0,-10.0
0.738,0.334,0.404,240.0,47.0,167.0,381.0,3.73,1.21,0.236,354.0,0.736,0.328,0.408,218.0,53.0,182.0,380.0,2.82,1.25,0.228,448.0,-6.0
0.7,0.286,0.413,202.0,73.0,121.0,470.0,5.01,1.5,0.27,354.0,0.751,0.331,0.421,267.0,62.0,169.0,435.0,3.32,1.17,0.228,434.0,-8.0
0.701,0.313,0.388,230.0,53.0,177.0,426.0,3.34,1.23,0.236,425.0,0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,4.0
0.821,0.346,0.475,275.0,83.0,198.0,428.0,3.49,1.18,0.208,453.0,0.673,0.306,0.367,193.0,44.0,150.0,415.0,3.88,1.22,0.242,381.0,-1.0
0.618,0.286,0.332,164.0,40.0,151.0,423.0,4.19,1.4,0.249,355.0,0.695,0.317,0.378,195.0,45.0,154.0,383.0,3.48,1.14,0.213,445.0,-5.0
0.703,0.318,0.384,196.0,44.0,152.0,357.0,4.13,1.22,0.238,442.0,0.689,0.307,0.382,192.0,53.0,154.0,374.0,4.12,1.41,0.259,407.0,-2.0
0.617,0.298,0.319,146.0,33.0,173.0,433.0,3.97,1.25,0.239,367.0,0.711,0.322,0.389,199.0,41.0,145.0,326.0,3.5,1.18,0.22,412.0,-1.0
0.701,0.313,0.388,230.0,53.0,177.0,426.0,3.34,1.23,0.236,425.0,0.648,0.286,0.362,164.0,43.0,140.0,480.0,5.92,1.63,0.301,314.0,3.0
0.743,0.324,0.419,240.0,62.0,170.0,465.0,4.03,1.34,0.257,421.0,0.695,0.312,0.384,201.0,45.0,141.0,400.0,3.28,1.15,0.23,435.0,-1.0
0.698,0.311,0.387,197.0,45.0,145.0,404.0,5.46,1.48,0.266,379.0,0.731,0.315,0.417,212.0,63.0,149.0,373.0,5.23,1.49,0.267,406.0,3.0
0.754,0.34,0.414,241.0,53.0,184.0,380.0,3.79,1.24,0.243,477.0,0.782,0.334,0.448,256.0,70.0,191.0,380.0,4.64,1.33,0.247,434.0,5.0
0.709,0.317,0.391,228.0,53.0,175.0,457.0,3.48,1.17,0.223,418.0,0.702,0.312,0.39,212.0,51.0,146.0,391.0,5.24,1.44,0.267,396.0,-5.0
0.662,0.289,0.372,171.0,54.0,127.0,398.0,3.3,1.13,0.222,391.0,0.723,0.324,0.399,227.0,66.0,191.0,423.0,3.62,1.3,0.248,398.0,-1.0
0.657,0.308,0.349,212.0,41.0,172.0,407.0,4.11,1.32,0.241,402.0,0.782,0.335,0.447,293.0,69.0,190.0,398.0,3.9,1.28,0.248,394.0,-4.0
0.686,0.299,0.387,183.0,56.0,134.0,430.0,5.45,1.48,0.274,365.0,0.665,0.3,0.366,172.0,32.0,124.0,354.0,3.03,1.18,0.233,408.0,-4.0
